,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Outlet_Age
5059,1284,19.0,0,0.026963909,9,129.8336,1,1987,0,2,1,3451.5072,2,26
7879,1284,19.0,0,0.027028323,9,127.0336,9,1999,1,0,1,3962.8416,2,14
766,1219,9.31,0,0.037923509,5,61.651,1,1987,0,2,1,379.506,1,26
1283,1219,9.31,0,0.038169783,5,64.551,2,2007,2,1,1,1581.275,1,6
3745,1219,9.31,0,0.038014104,5,62.351000000000006,9,1999,1,0,1,822.263,1,14
4362,1219,9.31,0,0.037955094,5,62.151,8,1997,2,0,1,1201.769,1,16
6415,1219,9.31,0,0.06352904599999999,5,63.75100000000001,0,1998,2,2,0,126.502,1,15
7137,1219,9.31,0,0.038032068,5,61.351000000000006,7,2002,2,1,1,822.263,1,11
573,272,8.68,0,0.008871687,5,99.7384,3,2009,1,2,2,295.6152,1,4
5548,272,8.68,0,0.008792906999999999,5,96.7384,5,1985,1,2,3,2956.152,1,28
6445,272,8.68,0,0.008835694,5,96.5384,8,1997,2,0,1,1182.4608,1,16
6466,272,8.68,0,0.008828341,5,99.9384,1,1987,0,2,1,689.7688,1,26
6713,272,8.68,0,0.008834023,5,100.0384,6,2004,2,1,1,2266.3832,1,9
7501,272,8.68,0,0.01478914,5,97.7384,0,1998,2,2,0,98.5384,1,15
2489,558,11.0,0,0.008960445,10,119.1756,9,1999,1,0,1,1696.4584,1,14
5872,558,11.0,0,0.008944844,10,122.3756,6,2004,2,1,1,2059.9852,1,9
6275,558,11.0,0,0.008997141,10,119.9756,2,2007,2,1,1,1938.8096,1,6
7238,558,11.0,0,0.008903211999999999,10,120.9756,5,1985,1,2,3,2787.0388,1,28
8358,558,11.0,0,0.015664228999999998,10,122.2756,4,1985,2,0,0,121.1756,1,28
2880,1110,14.0,1,0.037491314,5,164.2526,1,1987,0,2,1,1808.9786,1,26
3738,1110,14.0,1,0.037734782,5,166.4526,2,2007,2,1,1,4769.1254,1,6
5194,1110,14.0,1,0.037340835,5,163.1526,5,1985,1,2,3,3946.8624,1,28
6594,1110,14.0,1,0.037580877,5,162.6526,9,1999,1,0,1,4275.7676,1,14
1217,391,14.5,1,0.058827383,6,172.2448,8,1997,2,0,1,2897.5616,1,16
2693,391,14.5,1,0.05854250900000001,6,168.6448,5,1985,1,2,3,3408.896,1,28
3616,391,14.5,1,0.05894668700000001,6,168.6448,7,2002,2,1,1,2897.5616,1,11
4189,391,14.5,1,0.05891884400000001,6,169.7448,9,1999,1,0,1,3238.4512,1,14
5417,391,14.5,1,0.059160135,6,170.7448,2,2007,2,1,1,2045.3376,1,6
5728,391,14.5,1,0.102999154,6,169.9448,4,1985,2,0,0,170.4448,1,28
6730,391,14.5,1,0.05677067314285715,6,169.6448,6,2004,2,1,1,2045.3376,1,9
529,1010,7.56,0,0.06390019,5,157.263,7,2002,2,1,1,2503.408,1,11
1228,1010,7.56,0,0.064030636,5,154.463,3,2009,1,2,2,2503.408,1,4
4954,1010,7.56,0,0.063462048,5,157.563,5,1985,1,2,3,1721.0929999999996,1,28
6997,1010,7.56,0,0.111654545,5,157.063,4,1985,2,0,0,312.926,1,28
789,318,8.71,0,0.121149472,3,93.7778,1,1987,0,2,1,1783.6782,1,26
4176,318,8.71,0,0.121936216,3,94.4778,2,2007,2,1,1,2628.5784,1,6
4882,318,8.71,0,0.121250374,3,92.7778,8,1997,2,0,1,1032.6558,1,16
5431,318,8.71,0,0.120663214,3,95.6778,5,1985,1,2,3,2910.2118,1,28
5634,318,8.71,0,0.212293753,3,92.2778,4,1985,2,0,0,469.389,1,28
4116,354,9.6,0,0.03625493,6,141.0154,1,1987,0,2,1,2694.4926,1,26
4814,354,9.6,0,0.036109413,6,140.6154,5,1985,1,2,3,4538.0928,1,28
5040,354,9.6,0,0.036490369,6,140.8154,2,2007,2,1,1,1843.6002,1,6
6897,354,9.6,0,0.036341539,6,142.9154,9,1999,1,0,1,3261.7542,1,14
5690,224,10.5,1,0.093746136,13,211.9244,6,2004,2,1,1,4869.6612,1,9
6097,224,10.5,1,0.093909644,13,213.7244,9,1999,1,0,1,4022.7636,1,14
8453,224,10.5,1,0.093954022,13,211.8244,7,2002,2,1,1,3387.5904,1,11
8505,224,10.5,1,0.094145821,13,210.8244,3,2009,1,2,2,2117.244,1,4
821,667,6.575,1,0.07549348,1,143.5444,6,2004,2,1,1,3338.3212,1,9
1231,667,6.575,1,0.07566089,1,145.4444,7,2002,2,1,1,2612.5992,1,11
2399,667,6.575,1,0.075625152,1,145.7444,9,1999,1,0,1,3193.1768,1,14
4259,667,6.575,1,0.075507758,1,146.4444,8,1997,2,0,1,1596.5884,1,16
4608,667,6.575,1,0.075142108,1,145.8444,5,1985,1,2,3,3773.7544,1,28
6115,667,6.575,1,0.075444922,1,146.0444,1,1987,0,2,1,2612.5992,1,26
2221,167,7.1,0,0.109990885,6,172.908,6,2004,2,1,1,2769.728,1,9
2834,167,7.1,0,0.110459828,6,172.108,3,2009,1,2,2,2250.404,1,4
6130,167,7.1,0,0.110234793,6,171.708,7,2002,2,1,1,3115.9440000000004,1,11
6937,167,7.1,0,0.110633958,6,173.808,2,2007,2,1,1,1211.756,1,6
97,231,8.75,1,0.07461309,6,187.4556,6,2004,2,1,1,3755.112,1,9
99,231,8.75,1,0.07462720099999999,6,187.8556,8,1997,2,0,1,1314.2892,1,16
656,231,8.75,1,0.074931201,6,187.6556,3,2009,1,2,2,938.778,1,4
2082,231,8.75,1,0.074743226,6,187.6556,9,1999,1,0,1,5257.1568,1,14
5480,231,8.75,1,0.074778547,6,186.3556,7,2002,2,1,1,3567.3564,1,11
5665,231,8.75,1,0.064036909,6,188.2556,5,1985,1,2,3,4693.89,1,28
7560,231,8.75,1,0.074565098,6,186.8556,1,1987,0,2,1,7322.4684,1,26
813,24,9.895,0,0.167799329,14,239.4564,6,2004,2,1,1,5243.8408,0,9
2972,24,9.895,0,0.168780385,14,236.8564,2,2007,2,1,1,4767.128,0,6
3289,24,9.895,0,0.16783106399999995,14,237.4564,8,1997,2,0,1,715.0692,0,16
5017,24,9.895,0,0.16817143,14,237.7564,7,2002,2,1,1,3813.7024,0,11
1529,308,7.6,1,0.142410775,15,171.9448,8,1997,2,0,1,3749.7856,1,16
2031,308,7.6,1,0.14238384699999998,15,172.3448,6,2004,2,1,1,2556.672,1,9
5516,308,7.6,1,0.142292265,15,171.3448,1,1987,0,2,1,3238.4512,1,26
6012,308,7.6,1,0.238366442,15,171.8448,0,1998,2,2,0,852.2239999999998,1,15
7745,308,7.6,1,0.14269958800000002,15,171.7448,7,2002,2,1,1,4431.5648,1,11
8411,308,7.6,1,0.142632186,15,172.3448,9,1999,1,0,1,4431.5648,1,14
956,831,11.65,0,0.175033524,4,55.5298,2,2007,2,1,1,647.1576,1,6
5150,831,11.65,0,0.304737387,4,54.7298,4,1985,2,0,0,107.8596,1,28
5738,831,11.65,0,0.17320619199999998,4,53.3298,5,1985,1,2,3,1078.596,1,28
5907,831,11.65,0,0.174049032,4,52.9298,8,1997,2,0,1,647.1576,1,16
8266,831,11.65,0,0.173904193,4,52.3298,1,1987,0,2,1,269.649,1,26
45,641,6.42,0,0.08949892599999999,4,178.1002,0,1998,2,2,0,358.2004,1,15
1190,641,6.42,0,0.053688479,4,178.3002,3,2009,1,2,2,2328.3026,1,4
1320,641,6.42,0,0.053553794,4,178.6002,9,1999,1,0,1,3582.004000000001,1,14
7826,641,6.42,0,0.053211728,4,177.6002,5,1985,1,2,3,8417.7094,1,28
7925,641,6.42,0,0.053426165,4,178.7002,1,1987,0,2,1,4477.505,1,26
39,214,15.25,0,0.026480954,13,87.6198,5,1985,1,2,3,2180.495,1,28
385,214,15.25,0,0.026604781,13,86.2198,6,2004,2,1,1,610.5386,1,9
950,214,15.25,0,0.02671821,13,85.2198,3,2009,1,2,2,1482.7366,1,4
1144,214,15.25,0,0.044539371,13,85.3198,0,1998,2,2,0,261.6594,1,15
2629,214,15.25,0,0.026651184,13,86.6198,9,1999,1,0,1,1657.1762,1,14
3569,214,15.25,0,0.026760329,13,86.0198,2,2007,2,1,1,2006.0554,1,6
7915,214,15.25,0,0.026663778,13,87.0198,7,2002,2,1,1,2442.1544,1,11
258,1169,17.6,1,0.076276208,10,110.9202,7,2002,2,1,1,1687.803,1,11
277,1169,17.6,1,0.076552407,10,110.5202,2,2007,2,1,1,450.0808,1,6
764,1169,17.6,1,0.076121831,10,111.7202,8,1997,2,0,1,1125.202,1,16
4211,1169,17.6,1,0.07605848400000001,10,111.8202,1,1987,0,2,1,2025.3636,1,26
4691,1169,17.6,1,0.076431919,10,113.2202,3,2009,1,2,2,2025.3636,1,4
5071,1169,17.6,1,0.127412338,10,111.3202,0,1998,2,2,0,337.5606,1,15
6849,1169,17.599999999999994,1,0.133279499,10,112.6202,4,1985,2,0,0,675.1212,1,28
8123,1169,17.599999999999994,1,0.075753207,10,111.1202,5,1985,1,2,3,3150.5656,1,28
970,944,9.3,0,0.174621343,13,104.2964,9,1999,1,0,1,1998.7316,1,14
1236,944,9.3,0,0.174317307,13,106.7964,6,2004,2,1,1,841.5712,1,9
2798,944,9.3,0,0.17506050399999998,13,106.7964,3,2009,1,2,2,525.982,1,4
3488,944,9.3,0,0.29182661600000004,13,107.1964,0,1998,2,2,0,420.7856,1,15
3902,944,9.3,0,0.17533647100000002,13,107.0964,2,2007,2,1,1,1472.7496,1,6
6574,944,9.3,0,0.174703862,13,104.0964,7,2002,2,1,1,1788.3388,1,11
8492,944,9.3,0,0.174350275,13,104.4964,8,1997,2,0,1,2419.5172,1,16
971,219,11.6,0,0.038597077,4,57.9272,7,2002,2,1,1,615.1992,1,11
3838,219,11.6,0,0.038578846,4,56.1272,9,1999,1,0,1,671.1264,1,14
3858,219,11.6,0,0.038736838,4,55.8272,2,2007,2,1,1,1454.1072,1,6
6836,219,11.6,0,0.067441726,4,57.4272,4,1985,2,0,0,111.8544,1,28
7051,219,11.6,0,0.038511676,4,57.7272,6,2004,2,1,1,503.3448,1,9
241,1469,15.85,0,0.020603511,9,42.7112,2,2007,2,1,1,639.168,2,6
1738,1469,15.85,0,0.020487625,9,44.0112,8,1997,2,0,1,468.7232,2,16
1795,1469,15.85,0,0.020519478,9,42.5112,9,1999,1,0,1,852.2239999999998,2,14
5295,1469,15.85,0,0.020388413,9,44.4112,5,1985,1,2,3,767.0016,2,28
7710,1469,15.85,0,0.020571083,9,41.6112,3,2009,1,2,2,255.6672,2,4
1021,497,13.1,0,0.037549969,6,176.1054,1,1987,0,2,1,4027.4242,1,26
1803,497,13.1,0,0.037574137,6,174.2054,6,2004,2,1,1,3677.2134,1,9
2098,497,13.1,0,0.037657459,6,175.8054,7,2002,2,1,1,2801.6864,1,11
3221,497,13.1,0,0.037734334,6,173.9054,3,2009,1,2,2,3677.2134,1,4
3554,497,13.1,0,0.037639672,6,175.6054,9,1999,1,0,1,1050.6324,1,14
3710,497,13.1,0,0.037581243,6,175.5054,8,1997,2,0,1,2451.4756,1,16
7082,497,13.1,0,0.037793818,6,173.8054,2,2007,2,1,1,2801.6864,1,6
613,1154,12.3,1,0.04841659783333333,13,57.3562,1,1987,0,2,1,177.7686,1,26
2611,1154,12.3,1,0.058234620999999986,13,58.7562,7,2002,2,1,1,592.562,1,11
3019,1154,12.3,1,0.058207114,13,59.1562,9,1999,1,0,1,1185.124,1,14
3030,1154,12.3,1,0.058116758,13,57.5562,8,1997,2,0,1,651.8182,1,16
4573,1154,12.3,1,0.058105769,13,60.4562,6,2004,2,1,1,1777.686,1,9
8271,1154,12.3,1,0.057835325,13,57.5562,5,1985,1,2,3,2548.0166,1,28
953,1233,17.75,1,0.112985849,0,185.424,0,1998,2,2,0,745.696,1,15
3636,1233,17.75,1,0.06749003599999999,0,185.224,6,2004,2,1,1,6338.416,1,9
4299,1233,17.75,1,0.06760774900000001,0,188.024,9,1999,1,0,1,2796.36,1,14
4639,1233,17.75,1,0.067777778,0,186.924,3,2009,1,2,2,3169.208,1,4
6618,1233,17.75,1,0.067446626,0,184.724,1,1987,0,2,1,1677.816,1,26
7171,1233,17.75,1,0.067175915,0,187.124,5,1985,1,2,3,3728.48,1,28
7724,1233,17.75,1,0.067639698,0,187.624,7,2002,2,1,1,1491.392,1,11
1906,513,5.095,1,0.128876537,13,139.1838,5,1985,1,2,3,4916.933,1,28
3132,513,5.095,1,0.129705008,13,141.8838,9,1999,1,0,1,1966.7732,1,14
4275,513,5.095,1,0.13003120699999998,13,142.4838,3,2009,1,2,2,561.9352,1,4
4615,513,5.095,1,0.129395895,13,140.3838,1,1987,0,2,1,1826.2894,1,26
5915,513,5.095,1,0.129479176,13,139.7838,6,2004,2,1,1,1264.3542,1,9
6274,513,5.095,1,0.129766301,13,141.6838,7,2002,2,1,1,3231.1274,1,11
217,753,13.65,1,0.134975628,5,260.0936,0,1998,2,2,0,260.9936,1,15
1019,753,13.65,1,0.081096613,5,261.2936,2,2007,2,1,1,3131.9232,1,6
1834,753,13.65,1,0.080640478,5,262.6936,8,1997,2,0,1,4175.8976,1,16
2171,753,13.65,1,0.080765853,5,262.8936,9,1999,1,0,1,4958.8784,1,14
4145,753,13.65,1,0.08062523,5,259.6936,6,2004,2,1,1,2087.9488,1,9
4213,753,13.65,1,0.080804019,5,261.1936,7,2002,2,1,1,2348.9424,1,11
4465,753,13.65,1,0.080968973,5,259.7936,3,2009,1,2,2,2609.936,1,4
5521,753,13.65,1,0.08057337099999999,5,260.1936,1,1987,0,2,1,3914.9040000000014,1,26
330,73,20.7,0,0.09261307,4,76.367,1,1987,0,2,1,306.268,0,26
4076,73,20.7,0,0.092241348,4,75.867,5,1985,1,2,3,2450.144,0,28
5945,73,20.7,0,0.06181720483333334,4,78.467,8,1997,2,0,1,1607.9070000000004,0,16
6330,73,20.7,0,0.093214498,4,74.667,2,2007,2,1,1,2143.876,0,6
7709,73,20.7,0,0.092834313,4,77.667,9,1999,1,0,1,2220.443,0,14
8404,73,20.7,0,0.06181720483333334,4,75.967,4,1985,2,0,0,153.134,0,28
1079,1322,18.0,0,0.047645037,9,172.6422,2,2007,2,1,1,2931.5174,2,6
3254,1322,18.0,0,0.047377053,9,171.1422,8,1997,2,0,1,2931.5174,2,16
6327,1322,18.0,0,0.07929947400000001,9,170.5422,0,1998,2,2,0,344.8844,2,15
7757,1322,18.0,0,0.047473135,9,170.5422,7,2002,2,1,1,3103.9596,2,11
148,179,21.25,0,0.155350299,13,178.237,6,2004,2,1,1,529.311,1,9
965,179,21.25,0,0.154627247,13,177.637,5,1985,1,2,3,5469.547,1,28
5782,179,21.25,0,0.155250377,13,175.737,1,1987,0,2,1,2117.244,1,26
6101,179,21.25,0,0.155694794,13,177.637,7,2002,2,1,1,2999.429,1,11
6705,179,21.25,0,0.15601263099999998,13,177.33700000000005,3,2009,1,2,2,2822.992,1,4
1030,618,12.5,1,0.12341737,3,86.0198,0,1998,2,2,0,87.2198,1,15
5562,618,12.5,1,0.07373505799999999,3,87.1198,8,1997,2,0,1,1657.1762,1,16
6305,618,12.5,1,0.074035423,3,87.9198,3,2009,1,2,2,1133.8574,1,4
6784,618,12.5,1,0.073721115,3,85.6198,6,2004,2,1,1,610.5386,1,9
8401,618,12.5,1,0.074152133,3,88.6198,2,2007,2,1,1,1395.5168,1,6
4187,351,10.395,1,0.02974207,4,88.9514,5,1985,1,2,3,3453.5046,1,28
701,1349,19.85,0,0.025963795,9,46.3376,6,2004,2,1,1,1150.5024,2,9
1911,1349,19.85,0,0.025947095,9,46.9376,1,1987,0,2,1,575.2512,2,26
4340,1349,19.85,0,0.025968706,9,49.5376,8,1997,2,0,1,1006.6896,2,16
4428,1349,19.85,0,0.026074491,9,48.6376,3,2009,1,2,2,575.2512,2,4
5984,1349,19.85,0,0.026115595,9,49.0376,2,2007,2,1,1,143.8128,2,6
7871,1349,19.85,0,0.025842951,9,48.6376,5,1985,1,2,3,1677.816,2,28
921,241,15.5,1,0.026409147,6,102.1332,3,2009,1,2,2,615.1992,1,4
1169,241,15.5,1,0.026355345,6,100.8332,7,2002,2,1,1,1537.9979999999996,1,11
2704,241,15.5,1,0.026280116,6,102.3332,1,1987,0,2,1,922.7988,1,26
4844,241,15.5,1,0.044024163,6,102.0332,0,1998,2,2,0,102.5332,1,15
8202,241,15.5,1,0.026342897,6,104.1332,9,1999,1,0,1,1230.3984,1,14
3229,971,11.1,0,0.059846975,6,150.1366,8,1997,2,0,1,1813.6392,1,16
3338,971,11.1,0,0.05996834700000001,6,152.8366,7,2002,2,1,1,1662.5026,1,11
5086,971,11.1,0,0.05983565900000001,6,151.3366,6,2004,2,1,1,3022.732,1,9
6200,971,11.1,0,0.059797172,6,151.8366,1,1987,0,2,1,1057.9562,1,26
7130,971,11.1,0,0.104784329,6,150.4366,4,1985,2,0,0,151.1366,1,28
7449,971,11.1,0,0.059940022,6,149.1366,9,1999,1,0,1,4231.8248,1,14
333,689,13.8,1,0.056596985,13,230.9984,5,1985,1,2,3,9267.936,1,28
396,689,13.8,1,0.05696081400000001,13,230.0984,9,1999,1,0,1,3707.1744,1,14
3475,689,13.8,1,0.056825065,13,230.9984,1,1987,0,2,1,4633.968,1,26
7541,689,13.8,1,0.056872392,13,231.1984,8,1997,2,0,1,5097.3648,1,16
7989,689,13.8,1,0.057104066,13,232.6984,3,2009,1,2,2,1390.1904,1,4
8510,689,13.8,1,0.056861638,13,231.5984,6,2004,2,1,1,7182.6504,1,9
1239,1306,10.0,0,0.021468792,9,251.675,7,2002,2,1,1,4244.475,2,11
2749,1306,10.0,0,0.021425341,9,250.175,8,1997,2,0,1,2996.1,2,16
4582,1306,10.0,0,0.021407511,9,248.175,1,1987,0,2,1,3495.45,2,26
5916,1306,10.0,0,0.021512619,9,247.775,3,2009,1,2,2,3745.125,2,4
8350,1306,10.0,0,0.021421289,9,248.375,6,2004,2,1,1,7240.575,2,9
2326,1352,18.7,0,0.045865089000000005,8,152.3682,5,1985,1,2,3,2287.023,2,28
2455,1352,18.7,0,0.046088273,8,153.6682,8,1997,2,0,1,3506.7686,2,16
3743,1352,18.7,0,0.046159928,8,152.3682,9,1999,1,0,1,1677.1502,2,14
4596,1352,18.7,0,0.04604992,8,151.9682,1,1987,0,2,1,3354.3004,2,26
5576,1352,18.7,0,0.046348967000000005,8,153.6682,2,2007,2,1,1,1677.1502,2,6
7111,1352,18.7,0,0.046079558,8,151.5682,6,2004,2,1,1,1982.0866,2,9
321,1146,9.695,1,0.12848269,0,223.9404,9,1999,1,0,1,4950.8888,1,14
1361,1146,9.695,1,0.129008866,0,226.9404,2,2007,2,1,1,2700.4848,1,6
1407,1146,9.695,1,0.128543405,0,226.5404,7,2002,2,1,1,4500.808,1,11
2841,1146,9.695,1,0.128805815,0,224.0404,3,2009,1,2,2,5851.0504,1,4
4777,1146,9.695,1,0.12828324300000002,0,226.1404,8,1997,2,0,1,3375.606,1,16
6532,1146,9.695,1,0.128176489,0,224.8404,1,1987,0,2,1,3600.6464,1,26
7744,1146,9.695,1,0.224607399,0,223.1404,4,1985,2,0,0,450.0808,1,28
288,232,20.25,1,0.018801549,6,222.1772,6,2004,2,1,1,5559.43,1,9
1700,232,20.25,1,0.01871404,6,223.4772,5,1985,1,2,3,7116.0704,1,28
5601,232,20.25,1,0.018789455,6,222.0772,1,1987,0,2,1,3113.2808,1,26
8004,232,20.25,1,0.018911474,6,220.5772,2,2007,2,1,1,2446.1492,1,6
8331,232,20.25,1,0.018805105,6,220.6772,8,1997,2,0,1,2223.772,1,16
2001,1045,19.5,0,0.128206001,1,155.9314,8,1997,2,0,1,3878.285,1,16
4881,1045,19.5,0,0.128181759,1,156.1314,6,2004,2,1,1,2792.3652,1,9
4922,1045,19.5,0,0.128405328,1,156.4314,9,1999,1,0,1,2326.971,1,14
5721,1045,19.5,0,0.128728258,1,155.3314,3,2009,1,2,2,3412.8908,1,4
373,1123,9.0,0,0.065236932,13,176.437,6,2004,2,1,1,7763.228,1,9
628,1123,9.0,0,0.064933297,13,174.83700000000005,5,1985,1,2,3,4763.799,1,28
2919,1123,9.0,0,0.065515067,13,178.137,3,2009,1,2,2,1058.622,1,4
4070,1123,9.0,0,0.06519497099999999,13,177.737,1,1987,0,2,1,2117.244,1,26
6822,1123,9.0,0,0.065350715,13,175.437,9,1999,1,0,1,3175.866,1,14
7760,1123,9.0,0,0.114243048,13,174.937,4,1985,2,0,0,176.437,1,28
350,773,20.85,1,0.056695731,1,104.0648,3,2009,1,2,2,1869.5664,1,4
442,773,20.85,1,0.056580228,1,105.6648,7,2002,2,1,1,623.1888,1,11
3276,773,20.85,1,0.094512029,1,104.5648,0,1998,2,2,0,207.7296,1,15
4965,773,20.85,1,0.056465714000000014,1,103.6648,8,1997,2,0,1,2285.0256,1,16
7057,773,20.85,1,0.056192276,1,103.1648,5,1985,1,2,3,1973.4312,1,28
1271,1200,14.85,0,0.098803088,6,169.7474,3,2009,1,2,2,673.7896,1,4
1038,979,13.65,1,0.026643448,10,37.9532,9,1999,1,0,1,862.8768,1,14
2407,979,13.65,1,0.044526443,10,37.9532,0,1998,2,2,0,71.9064,1,15
3162,979,13.65,1,0.026579951,10,34.7532,1,1987,0,2,1,683.1108,1,26
4487,979,13.65,1,0.020725321833333334,10,36.6532,2,2007,2,1,1,755.0172,1,6
7636,979,13.65,1,0.020725321833333334,10,37.9532,7,2002,2,1,1,575.2512,1,11
7646,979,13.65,1,0.026602089,10,35.1532,8,1997,2,0,1,790.9704,1,16
480,807,9.5,1,0.010907967,13,182.3608,1,1987,0,2,1,2940.1728,1,26
1343,807,9.5,1,0.010917052,13,185.3608,8,1997,2,0,1,2021.3688,1,16
3419,807,9.5,1,0.010453090333333333,13,182.3608,0,1998,2,2,0,1102.5648,1,15
5425,807,9.5,1,0.010864186,13,185.3608,5,1985,1,2,3,5329.0632,1,28
7533,807,9.5,1,0.010914988,13,183.8608,6,2004,2,1,1,2572.6512,1,9
8469,807,9.5,1,0.019114349,13,182.1608,4,1985,2,0,0,367.5216,1,28
644,1330,20.2,0,0.074541867,9,94.1462,3,2009,1,2,2,1758.3778,2,4
1039,1330,20.2,0,0.073879939,9,94.0462,5,1985,1,2,3,1850.924,2,28
1533,1330,20.2,0,0.07439000700000001,9,91.4462,7,2002,2,1,1,1943.4702,2,11
1605,1330,20.2,0,0.124261614,9,93.6462,0,1998,2,2,0,277.6386,2,15
6418,1330,20.2,0,0.129983688,9,93.0462,4,1985,2,0,0,185.0924,2,28
7316,1330,20.2,0,0.074177667,9,93.2462,1,1987,0,2,1,1018.0082,2,26
7550,1330,20.2,0,0.07874782599999999,9,94.1462,8,1997,2,0,1,832.9158,2,16
1313,1097,19.2,0,0.123449671,3,89.7488,5,1985,1,2,3,1901.5248,1,28
2415,1097,19.2,0,0.124301968,3,89.7488,7,2002,2,1,1,2082.6224,1,11
4121,1097,19.2,0,0.12475207,3,90.9488,2,2007,2,1,1,633.8416,1,6
1279,296,17.7,1,0.040897932000000005,6,82.6276,1,1987,0,2,1,731.0484,1,26
4678,296,17.7,1,0.041098734,6,80.9276,3,2009,1,2,2,487.3656,1,4
7147,296,17.7,1,0.041163522,6,80.8276,2,2007,2,1,1,1868.2348,1,6
1733,522,17.7,1,0.122123201,10,100.7674,7,2002,2,1,1,814.9392,1,11
2339,522,17.7,1,0.122565413,10,103.8674,2,2007,2,1,1,1528.011,1,6
4088,522,17.7,1,0.122372504,10,101.5674,3,2009,1,2,2,1629.8784,1,4
5023,522,17.7,1,0.122065518,10,103.3674,9,1999,1,0,1,2546.685,1,14
2601,517,9.195,0,0.114863923,5,59.0246,6,2004,2,1,1,1853.5872,1,9
5379,517,9.195,0,0.115353642,5,58.9246,3,2009,1,2,2,926.7936,1,4
5996,517,9.195,0,0.115064263,5,58.6246,9,1999,1,0,1,868.8689999999998,1,14
6034,517,9.195,0,0.114885647,5,59.6246,8,1997,2,0,1,1100.5674,1,16
7169,517,9.195,0,0.115535487,5,59.5246,2,2007,2,1,1,810.9444,1,6
1786,386,20.85,0,0.098170402,15,224.0746,2,2007,2,1,1,2243.746,1,6
2359,386,20.85,0,0.097618234,15,223.9746,8,1997,2,0,1,897.4984,1,16
3246,386,20.85,0,0.097536998,15,225.3746,1,1987,0,2,1,3365.619,1,26
6810,386,20.85,0,0.097770004,15,222.8746,9,1999,1,0,1,3589.9936,1,14
421,203,13.15,0,0.036746479,5,181.2976,7,2002,2,1,1,3259.7568,1,11
1497,203,13.15,0,0.036879539,5,181.3976,2,2007,2,1,1,3078.6592,1,6
2023,203,13.15,0,0.036729122,5,179.7976,9,1999,1,0,1,2535.3664,1,14
2107,203,13.15,0,0.036641589,5,180.7976,1,1987,0,2,1,6157.3184,1,26
4560,203,13.15,0,0.06420812599999999,5,180.1976,4,1985,2,0,0,181.0976,1,28
5509,203,13.15,0,0.061381589,5,179.9976,0,1998,2,2,0,181.0976,1,15
5761,203,13.15,0,0.036494521,5,179.0976,5,1985,1,2,3,5976.2208,1,28
8461,203,13.15,0,0.036672107,5,182.5976,8,1997,2,0,1,4165.2448,1,16
1633,1241,6.695,0,0.05058089666666667,15,191.882,1,1987,0,2,1,3861.64,1,26
3175,1241,6.695,0,0.075878519,15,194.082,8,1997,2,0,1,3861.64,1,16
3208,1241,6.695,0,0.075864171,15,192.082,6,2004,2,1,1,6757.87,1,9
1125,1215,10.5,1,0.026520107,0,144.8128,2,2007,2,1,1,2157.192,1,6
2750,1215,10.5,1,0.02624324,0,143.8128,5,1985,1,2,3,4458.1968,1,28
2966,1215,10.5,1,0.044139551,0,143.9128,0,1998,2,2,0,143.8128,1,15
3558,1215,10.5,1,0.026424424,0,145.2128,7,2002,2,1,1,3739.1328,1,11
4643,1215,10.5,1,0.0246654644,0,143.3128,8,1997,2,0,1,1438.128,1,16
599,108,5.0,0,0.044004675,14,188.853,8,1997,2,0,1,5502.837,0,16
1046,108,5.0,0,0.077046505,14,189.453,4,1985,2,0,0,759.012,0,28
3687,108,5.0,0,0.032968552,14,189.853,7,2002,2,1,1,4933.578,0,11
7568,108,5.0,0,0.032968552,14,190.453,0,1998,2,2,0,379.506,0,15
8485,108,5.0,0,0.04379158,14,189.053,5,1985,1,2,3,6261.849,0,28
5437,1303,14.0,0,0.024213354,9,42.4454,5,1985,1,2,3,293.6178,2,28
6174,1303,14.0,0,0.024369007,9,40.2454,9,1999,1,0,1,922.7988,2,14
7632,1303,14.0,0,0.040725405,9,43.4454,0,1998,2,2,0,41.9454,2,15
7877,1303,14.0,0,0.024468806000000003,9,41.1454,2,2007,2,1,1,503.3448,2,6
146,198,16.0,0,0.060836524,15,226.8404,6,2004,2,1,1,6301.1312,1,9
439,198,16.0,0,0.060797393,15,223.8404,1,1987,0,2,1,3600.6464,1,26
1293,198,16.0,0,0.060942632,15,225.6404,9,1999,1,0,1,2925.5252,1,14
5237,198,16.0,0,0.060971431,15,226.2404,7,2002,2,1,1,4725.8484,1,11
6840,198,16.0,0,0.061192211,15,224.1404,2,2007,2,1,1,4725.8484,1,6
2804,1287,6.57,0,0.096862255,9,193.982,6,2004,2,1,1,2316.984,2,9
3516,1287,6.57,0,0.096411426,9,192.982,5,1985,1,2,3,4633.968,2,28
5712,1287,6.57,0,0.096799953,9,192.382,1,1987,0,2,1,4247.804,2,26
7023,1287,6.57,0,0.096880574,9,191.482,8,1997,2,0,1,5020.132000000001,2,16
2956,1177,12.1,0,0.030297819,3,74.767,2,2007,2,1,1,1454.773,1,6
3532,1177,12.1,0,0.030121709,3,78.067,6,2004,2,1,1,2220.443,1,9
