,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_Combined,Outlet_Age
2224,257,15.5,0,0.032873353,0,106.2938,8,1997,2,0,1,1,16
2523,257,15.5,0,0.033007266,0,106.0938,3,2009,1,2,2,1,4
2731,257,15.5,0,0.032867137000000005,0,108.0938,6,2004,2,1,1,1,9
3189,257,15.5,0,0.033059299,0,105.7938,2,2007,2,1,1,1,6
5368,257,15.5,0,0.032940022,0,107.0938,7,2002,2,1,1,1,11
1120,312,15.2,1,0.10327572,6,176.2054,5,1985,1,2,3,1,28
1337,312,15.2,1,0.10393961800000001,6,173.6054,9,1999,1,0,1,1,14
3787,312,15.2,1,0.181702355,6,173.4054,4,1985,2,0,0,1,28
5164,312,15.2,1,0.103691909,6,176.7054,1,1987,0,2,1,1,26
1219,136,10.195,0,0.112131275,7,112.086,1,1987,0,2,1,0,26
3795,136,10.195,0,0.11168121199999999,7,113.486,5,1985,1,2,3,0,28
5307,136,10.195,0,0.11245226,7,112.286,7,2002,2,1,1,0,11
2574,1080,11.35,1,0.043225203,6,197.7742,9,1999,1,0,1,1,14
3268,1080,11.35,1,0.043149942999999996,6,198.5742,6,2004,2,1,1,1,9
4900,1080,11.35,1,0.043158104,6,197.6742,8,1997,2,0,1,1,16
274,134,15.0,0,0.064129493,7,45.906000000000006,6,2004,2,1,1,0,9
656,134,15.0,0,0.0481685055,7,45.906000000000006,1,1987,0,2,1,0,26
3494,134,15.0,0,0.064141622,7,45.306000000000004,8,1997,2,0,1,0,16
3570,134,15.0,0,0.064402907,7,48.306000000000004,3,2009,1,2,2,0,4
114,702,6.175,1,0.179043614,10,95.3752,6,2004,2,1,1,1,9
2843,702,6.175,1,0.31354154300000003,10,97.6752,4,1985,2,0,0,1,28
4363,702,6.175,1,0.180090411,10,95.2752,2,2007,2,1,1,1,6
5469,702,6.175,1,0.299738981,10,96.1752,0,1998,2,2,0,1,15
5568,702,6.175,1,0.178928452,10,96.2752,1,1987,0,2,1,1,26
1549,1117,17.2,0,0.156615836,10,160.6578,7,2002,2,1,1,1,11
2942,1117,17.2,0,0.15718294800000002,10,158.9578,2,2007,2,1,1,1,6
2495,4,6.115,1,0.007058626,14,190.653,7,2002,2,1,1,0,11
3503,4,6.115,1,0.007073035,14,189.753,3,2009,1,2,2,0,4
3582,4,6.114999999999999,1,0.00529400025,14,190.253,5,1985,1,2,3,0,28
5330,4,6.115,1,0.00704434,14,189.053,8,1997,2,0,1,0,16
2624,1507,15.1,0,0.059660385999999996,9,236.7248,2,2007,2,1,1,2,6
2772,1507,15.1,0,0.029746301749999995,9,235.5248,7,2002,2,1,1,2,11
4729,1507,15.1,0,0.05932482099999999,9,237.2248,8,1997,2,0,1,2,16
5589,1507,15.1,0,0.029746301749999995,9,236.6248,3,2009,1,2,2,2,4
820,1353,11.0,0,0.063428202,8,40.848,0,1998,2,2,0,2,15
1746,1353,11.0,0,0.03788768,8,40.648,6,2004,2,1,1,2,9
2476,1353,11.0,0,0.037894845,8,40.348,8,1997,2,0,1,2,16
2764,1353,11.0,0,0.038049213,8,40.548,3,2009,1,2,2,2,4
1601,1434,17.35,0,0.020591811,11,81.0618,9,1999,1,0,1,2,14
3849,1434,17.35,0,0.020601542,11,78.7618,7,2002,2,1,1,2,11
198,1246,16.25,0,0.02573698,6,169.3474,8,1997,2,0,1,1,16
2795,1246,16.25,0,0.043078427999999995,6,169.5474,0,1998,2,2,0,1,15
3527,1246,16.25,0,0.025841822,6,168.9474,3,2009,1,2,2,1,4
4789,1246,16.25,0,0.025882559,6,168.7474,2,2007,2,1,1,1,6
2286,1375,6.825,0,0.059968347000000005,8,264.2226,7,2002,2,1,1,2,11
2883,1375,6.825,0,0.060090767,8,266.3226,3,2009,1,2,2,2,4
4968,1375,6.825,0,0.059797172,8,263.2226,1,1987,0,2,1,2,26
5128,1375,6.825,0,0.060185494000000006,8,264.9226,2,2007,2,1,1,2,6
2887,450,6.425,0,0.010459399,3,117.6808,7,2002,2,1,1,1,11
3976,450,6.425,0,0.010387683,3,115.9808,5,1985,1,2,3,1,28
5391,450,6.425,0,0.010429544,3,117.7808,1,1987,0,2,1,1,26
816,722,19.6,0,0.039801037000000004,13,162.4526,2,2007,2,1,1,1,6
818,722,19.6,0,0.039657436000000004,13,165.7526,7,2002,2,1,1,1,11
2472,722,19.6,0,0.06929452,13,162.5526,4,1985,2,0,0,1,28
138,267,15.85,0,0.238990225,3,94.7094,4,1985,2,0,0,1,28
3370,267,15.85,0,0.136384322,3,94.8094,1,1987,0,2,1,1,26
5004,267,15.85,0,0.13671013099999998,3,94.1094,9,1999,1,0,1,1,14
5272,967,15.5,1,0.076179549,0,263.1568,2,2007,2,1,1,1,6
877,1104,13.15,0,0.020748121,1,82.7566,9,1999,1,0,1,1,14
1553,1104,13.15,0,0.013849474,1,85.4566,5,1985,1,2,3,1,28
2205,1104,13.15,0,0.020800301,1,84.9566,3,2009,1,2,2,1,4
539,570,18.25,0,0.079666936,5,226.9062,2,2007,2,1,1,1,6
703,570,18.25,0,0.138701966,5,225.4062,4,1985,2,0,0,1,28
995,570,18.25,0,0.079218842,5,227.0062,8,1997,2,0,1,1,16
3274,570,18.25,0,0.079203863,5,224.9062,6,2004,2,1,1,1,9
479,774,5.695,1,0.0542745726,1,256.4988,0,1998,2,2,0,1,15
3153,774,5.695,1,0.06764458599999999,1,256.5988,1,1987,0,2,1,1,26
3496,774,5.695,1,0.067806182,1,255.1988,9,1999,1,0,1,1,14
3498,774,5.695,1,0.067838225,1,256.4988,7,2002,2,1,1,1,11
4019,774,5.695,1,0.06808387,1,257.9988,2,2007,2,1,1,1,6
148,1272,19.6,0,0.024086626,9,106.0964,2,2007,2,1,1,2,6
3350,1272,19.6,0,0.024048716,9,104.9964,3,2009,1,2,2,2,4
3351,1272,19.6,0,0.04193537,9,104.5964,4,1985,2,0,0,2,28
4770,1272,19.6,0,0.040089313,9,106.7964,0,1998,2,2,0,2,15
3818,854,12.15,1,0.132288896,6,187.8872,9,1999,1,0,1,1,14
592,659,18.6,0,0.077011493,13,160.5236,7,2002,2,1,1,1,11
4231,659,18.6,0,0.05143394933333334,13,161.5236,0,1998,2,2,0,1,15
4585,659,18.6,0,0.077290355,13,161.9236,2,2007,2,1,1,1,6
1316,1017,17.35,1,0.027666862999999996,3,87.9856,7,2002,2,1,1,1,11
3196,1017,17.35,1,0.027767045,3,88.9856,2,2007,2,1,1,1,6
4148,1017,17.35,1,0.027610867,3,86.0856,8,1997,2,0,1,1,16
4582,1017,17.35,1,0.027605646,3,88.9856,6,2004,2,1,1,1,9
2563,456,13.5,1,0.08584445633333333,15,95.8068,2,2007,2,1,1,1,6
2692,456,13.5,1,0.129340955,15,95.7068,3,2009,1,2,2,1,4
5401,456,13.5,1,0.128192414,15,96.8068,5,1985,1,2,3,1,28
786,699,17.85,0,0.14642735099999998,1,93.4436,8,1997,2,0,1,1,16
4128,699,17.85,0,0.146655006,1,94.4436,9,1999,1,0,1,1,14
1089,897,16.75,0,0.129410755,1,89.0856,3,2009,1,2,2,1,4
2230,897,16.75,0,0.225662275,1,87.5856,4,1985,2,0,0,1,28
2721,897,16.75,0,0.21572828800000002,1,86.9856,0,1998,2,2,0,1,15
1784,1397,13.1,0,0.012124086000000001,11,190.753,7,2002,2,1,1,2,11
3009,1397,13.1,0,0.012040955,11,188.253,5,1985,1,2,3,2,28
3889,1397,13.1,0,0.012118358999999999,11,188.85299999999998,9,1999,1,0,1,2,14
193,496,8.42,1,0.054001525999999994,3,227.8352,4,1985,2,0,0,1,28
817,496,8.42,1,0.031017124,3,230.1352,2,2007,2,1,1,1,6
2539,496,8.42,1,0.030842666,3,231.0352,8,1997,2,0,1,1,16
1343,15,8.67,0,0.065538317,14,141.8128,9,1999,1,0,1,0,14
1696,15,8.67,0,0.065806717,14,144.6128,2,2007,2,1,1,0,6
2006,15,8.67,0,0.065382126,14,145.2128,1,1987,0,2,1,0,26
3658,15,8.67,0,0.065703142,14,143.8128,3,2009,1,2,2,0,4
4868,15,8.67,0,0.065569288,14,144.6128,7,2002,2,1,1,0,11
5190,15,8.67,0,0.114571006,14,143.6128,4,1985,2,0,0,0,28
246,27,19.6,0,0.024206741,4,47.0718,1,1987,0,2,1,0,26
5665,27,19.6,0,0.024109582,4,46.0718,5,1985,1,2,3,0,28
280,64,17.25,0,0.026358306249999998,4,94.81200000000001,5,1985,1,2,3,0,28
2906,64,17.25,0,0.035262656,4,92.412,2,2007,2,1,1,0,6
3707,64,17.25,0,0.035035139,4,94.912,1,1987,0,2,1,0,26
5649,64,17.25,0,0.03513543,4,94.712,7,2002,2,1,1,0,11
228,818,18.25,0,0.136085739,13,259.8962,4,1985,2,0,0,1,28
2399,818,18.25,0,0.077724599,13,260.2962,8,1997,2,0,1,1,16
2588,818,18.25,0,0.078164241,13,256.9962,2,2007,2,1,1,1,6
986,1225,15.35,1,0.11385762599999999,6,190.2504,2,2007,2,1,1,1,6
4839,1225,15.35,1,0.113123006,6,191.9504,1,1987,0,2,1,1,26
5059,1225,15.35,1,0.11344683,6,193.7504,7,2002,2,1,1,1,11
662,24,9.895,0,0.167691399,14,236.4564,1,1987,0,2,1,0,26
3998,24,9.895,0,0.168514737,14,238.1564,3,2009,1,2,2,0,4
4261,24,9.895,0,0.168091997,14,236.4564,9,1999,1,0,1,0,14
5379,24,9.895,0,0.167018335,14,237.9564,5,1985,1,2,3,0,28
261,1487,15.1,0,0.055926872,9,141.4496,9,1999,1,0,1,2,14
409,1487,15.1,0,0.093464804,9,140.8496,0,1998,2,2,0,2,15
2090,1487,15.1,0,0.055569647,9,143.0496,5,1985,1,2,3,2,28
2374,1487,15.1,0,0.055953300000000004,9,141.5496,7,2002,2,1,1,2,11
490,1258,6.965,0,0.028664877999999998,9,159.0604,3,2009,1,2,2,2,4
1748,1258,6.965,0,0.028543185,9,159.4604,6,2004,2,1,1,2,9
3656,1258,6.965,0,0.028548583,9,157.5604,8,1997,2,0,1,2,16
4109,1258,6.965,0,0.028592968,9,156.7604,9,1999,1,0,1,2,14
955,212,15.25,0,0.026587668999999998,13,85.9198,1,1987,0,2,1,1,26
5216,212,15.25,0,0.026609813,13,86.3198,8,1997,2,0,1,1,16
900,187,18.85,0,0.039805092,13,40.348,3,2009,1,2,2,1,4
2394,187,18.85,0,0.039705236,13,40.348,9,1999,1,0,1,1,14
3269,187,18.85,0,0.039643601,13,41.448,8,1997,2,0,1,1,16
4769,187,18.85,0,0.039636104,13,41.648,6,2004,2,1,1,1,9
5545,187,18.85,0,0.039867841,13,39.748000000000005,2,2007,2,1,1,1,6
1247,219,19.0,1,0.09723214699999999,5,47.8718,1,1987,0,2,1,1,26
2691,219,19.0,1,0.097863571,5,46.0718,2,2007,2,1,1,1,6
2863,219,19.0,1,0.096841885,5,46.1718,5,1985,1,2,3,1,28
2891,219,19.0,1,0.097464425,5,47.7718,9,1999,1,0,1,1,14
3624,696,12.85,1,0.15243631800000002,6,253.9382,7,2002,2,1,1,1,11
5290,696,12.85,1,0.254630746,6,254.0382,0,1998,2,2,0,1,15
5381,696,12.85,1,0.151391113,6,253.0382,5,1985,1,2,3,1,28
288,16,12.1,1,0.061124625999999994,14,56.4614,1,1987,0,2,1,0,26
3152,16,12.1,1,0.107110465,14,55.6614,4,1985,2,0,0,0,28
3458,16,12.1,1,0.06087929,14,53.3614,5,1985,1,2,3,0,28
4457,16,12.1,1,0.061175535,14,54.8614,8,1997,2,0,1,0,16
611,890,7.655,0,0.031944868,3,116.1492,8,1997,2,0,1,1,16
4829,890,7.655,0,0.032074998,3,114.5492,3,2009,1,2,2,1,4
5274,890,7.655,0,0.031790174,3,117.2492,5,1985,1,2,3,1,28
730,455,6.935,1,0.041366007999999996,13,102.8332,7,2002,2,1,1,1,11
945,455,6.935,1,0.069098084,13,101.6332,0,1998,2,2,0,1,15
2481,455,6.935,1,0.041450453,13,101.9332,3,2009,1,2,2,1,4
3483,455,6.935,1,0.04127448,13,101.6332,6,2004,2,1,1,1,9
4425,455,6.935,1,0.041515796,13,102.8332,2,2007,2,1,1,1,6
5485,455,6.935,1,0.041082375,13,100.5332,5,1985,1,2,3,1,28
474,1030,16.1,1,0.279663801,5,35.6558,4,1985,2,0,0,1,28
2894,1030,16.1,1,0.14657204333333332,5,35.6558,9,1999,1,0,1,1,14
2926,1030,16.1,1,0.160052329,5,35.3558,7,2002,2,1,1,1,11
259,1181,17.6,1,0.016014343,1,44.0402,1,1987,0,2,1,1,26
5082,1181,17.6,1,0.01611834,1,45.2402,2,2007,2,1,1,1,6
5587,1181,17.6,1,0.016027681000000002,1,46.2402,8,1997,2,0,1,1,16
1720,168,11.5,0,0.014890695,15,174.108,7,2002,2,1,1,1,11
3099,168,11.5,0,0.014860557,15,174.00799999999998,8,1997,2,0,1,1,16
4203,168,11.5,0,0.014857747,15,172.808,6,2004,2,1,1,1,9
1334,432,21.0,0,0.049405001,13,192.8478,7,2002,2,1,1,1,11
5414,432,21.0,0,0.04930501,13,191.7478,8,1997,2,0,1,1,16
2433,483,14.3,0,0.044057131,5,77.9302,0,1998,2,2,0,1,15
4345,483,14.3,0,0.026470587,5,80.8302,2,2007,2,1,1,1,6
4397,483,14.3,0,0.026316724,5,78.1302,6,2004,2,1,1,1,9
972,365,5.19,0,0.042414494000000004,5,196.31099999999998,5,1985,1,2,3,1,28
1707,365,5.19,0,0.042585419000000006,5,196.91099999999997,1,1987,0,2,1,1,26
1874,365,5.19,0,0.042794507,5,195.011,3,2009,1,2,2,1,4
3882,365,5.19,0,0.074623672,5,198.21099999999998,4,1985,2,0,0,1,28
4384,365,5.19,0,0.042612828,5,196.41099999999997,6,2004,2,1,1,1,9
5411,365,5.19,0,0.042620887,5,196.011,8,1997,2,0,1,1,16
1256,909,13.65,1,0.308258994,3,213.0902,0,1998,2,2,0,1,15
1286,909,13.65,1,0.184132888,3,214.0902,6,2004,2,1,1,1,9
2513,909,13.65,1,0.184014453,3,212.4902,1,1987,0,2,1,1,26
2785,909,13.65,1,0.17193644140000003,3,212.7902,3,2009,1,2,2,1,4
4546,909,13.65,1,0.183275872,3,210.4902,5,1985,1,2,3,1,28
2325,1001,16.2,0,0.03588139,6,260.4278,1,1987,0,2,1,1,26
3353,1001,16.2,0,0.035904485,6,258.6278,6,2004,2,1,1,1,9
5014,1001,16.2,0,0.036114403999999996,6,258.8278,2,2007,2,1,1,1,6
5657,1001,16.2,0,0.035911275,6,261.3278,8,1997,2,0,1,1,16
2497,1320,12.3,0,0.07649067799999999,9,245.146,1,1987,0,2,1,2,26
3817,1320,12.3,0,0.076539909,9,245.24599999999998,6,2004,2,1,1,2,9
4361,1320,12.3,0,0.076673407,9,248.34599999999998,9,1999,1,0,1,2,14
4758,1320,12.3,0,0.076554385,9,245.74599999999998,8,1997,2,0,1,2,16
1428,501,7.64,1,0.070362085,13,95.11200000000001,5,1985,1,2,3,1,28
3029,501,7.64,1,0.070814401,13,92.412,9,1999,1,0,1,1,14
4018,501,7.64,1,0.070992494,13,92.012,3,2009,1,2,2,1,4
5235,501,7.64,1,0.070691105,13,91.412,6,2004,2,1,1,1,9
376,561,7.035,0,0.021972988,5,264.091,2,2007,2,1,1,1,6
1092,561,7.035,0,0.021845267,5,263.091,6,2004,2,1,1,1,9
1277,1102,8.31,1,0.11558111199999999,13,177.5028,1,1987,0,2,1,1,26
2832,1102,8.31,1,0.115655502,13,176.0028,6,2004,2,1,1,1,9
5627,1102,8.31,1,0.115117203,13,178.6028,5,1985,1,2,3,1,28
624,63,17.5,0,0.098056243,14,175.7738,9,1999,1,0,1,0,14
1523,63,17.5,0,0.09788551599999999,14,172.6738,6,2004,2,1,1,0,9
1586,63,17.5,0,0.097822555,14,175.4738,1,1987,0,2,1,0,26
2427,63,17.5,0,0.09830284800000001,14,173.4738,3,2009,1,2,2,0,4
1507,535,8.985,0,0.183368339,6,100.07,6,2004,2,1,1,1,9
1835,535,8.985,0,0.183403018,6,100.47,8,1997,2,0,1,1,16
2454,535,8.985,0,0.183250395,6,101.87,1,1987,0,2,1,1,26
2637,535,8.985,0,0.184150125,6,98.47,3,2009,1,2,2,1,4
1282,1185,5.305,1,0.0470198,10,182.7608,6,2004,2,1,1,1,9
1598,1185,5.305,1,0.046989555999999995,10,184.3608,1,1987,0,2,1,1,26
3463,1185,5.305,1,0.047028692999999996,10,185.3608,8,1997,2,0,1,1,16
4923,1185,5.305,1,0.047294706,10,182.1608,2,2007,2,1,1,1,6
4932,1185,5.305,1,0.047124068,10,182.0608,7,2002,2,1,1,1,11
2608,654,15.6,0,0.081230024,0,109.8544,9,1999,1,0,1,1,14
3729,654,15.6,0,0.081088593,0,110.0544,6,2004,2,1,1,1,9
1652,1343,18.6,0,0.118848485,11,55.3588,2,2007,2,1,1,2,6
2799,1343,18.6,0,0.0946903124,11,56.7588,4,1985,2,0,0,2,28
2917,1343,18.6,0,0.118363749,11,56.1588,9,1999,1,0,1,2,14
4093,1343,18.6,0,0.118081664,11,56.3588,1,1987,0,2,1,2,26
5333,1343,18.6,0,0.11815766400000001,11,58.3588,6,2004,2,1,1,2,9
159,83,13.8,0,0.09721299800000001,4,58.293,9,1999,1,0,1,0,14
1558,83,13.8,0,0.09698132,4,55.593,1,1987,0,2,1,0,26
2037,83,13.8,0,0.09725893699999999,4,55.993,7,2002,2,1,1,0,11
4238,83,13.8,0,0.097062093,4,54.993,8,1997,2,0,1,0,16
1359,1440,10.3,0,0.117169698,8,156.16299999999998,7,2002,2,1,1,2,11
1795,1440,10.3,0,0.116932555,8,155.463,8,1997,2,0,1,2,16
2250,1440,10.3,0,0.20473381,8,154.563,4,1985,2,0,0,2,28
4341,1440,10.3,0,0.117114354,8,157.763,9,1999,1,0,1,2,14
4774,1440,10.3,0,0.116910445,8,154.563,6,2004,2,1,1,2,9
1101,1243,11.3,1,0.03643918333333333,10,93.3094,8,1997,2,0,1,1,16
4382,1243,11.3,1,0.054542505,10,97.2094,6,2004,2,1,1,1,9
5539,1243,11.3,1,0.054775045,10,93.3094,3,2009,1,2,2,1,4
1240,1169,12.5,1,0.081356869,6,90.2488,5,1985,1,2,3,1,28
4117,1169,12.5,1,0.081918557,6,89.8488,7,2002,2,1,1,1,11
4915,1169,12.5,1,0.081737302,6,90.9488,6,2004,2,1,1,1,9
5465,1169,12.5,1,0.14313853,6,89.0488,4,1985,2,0,0,1,28
168,898,15.15,0,0.0139572,0,150.4708,7,2002,2,1,1,1,11
378,898,15.15,0,0.027936385,0,151.1708,2,2007,2,1,1,1,6
3443,898,15.15,0,0.027892415,0,150.9708,3,2009,1,2,2,1,4
4815,898,15.15,0,0.0139572,0,149.3708,9,1999,1,0,1,1,14
659,1255,10.5,0,0.027144322999999998,9,172.8106,5,1985,1,2,3,2,28
808,1255,10.5,0,0.027318817999999998,9,172.7106,9,1999,1,0,1,2,14
1770,1255,10.5,0,0.025921627399999998,9,170.6106,7,2002,2,1,1,2,11
2345,1255,10.5,0,0.047757472999999995,9,170.4106,4,1985,2,0,0,2,28
2713,1255,10.5,0,0.027387522999999997,9,172.1106,3,2009,1,2,2,2,4
729,1309,18.0,0,0.047337627,9,173.6422,1,1987,0,2,1,2,26
978,1309,18.0,0,0.047368095,9,171.7422,6,2004,2,1,1,2,9
1638,1309,18.0,0,0.047147628,9,170.8422,5,1985,1,2,3,2,28
1733,1309,18.0,0,0.082951105,9,173.7422,4,1985,2,0,0,2,28
2844,1309,18.0,0,0.047570047000000004,9,171.6422,3,2009,1,2,2,2,4
3556,1309,18.0,0,0.047450712,9,173.2422,9,1999,1,0,1,2,14
2337,1056,20.2,1,0.11736124699999999,0,197.511,8,1997,2,0,1,1,16
196,770,15.1,1,0.153038134,6,219.0456,4,1985,2,0,0,1,28
738,770,15.1,1,0.08790127199999999,6,222.7456,2,2007,2,1,1,1,6
3907,770,15.1,1,0.087334125,6,220.4456,1,1987,0,2,1,1,26
4205,770,15.1,1,0.087390335,6,219.1456,6,2004,2,1,1,1,9
1760,624,20.2,0,0.06462627,13,256.2646,3,2009,1,2,2,1,4
2361,624,20.2,0,0.06436407799999999,13,258.3646,8,1997,2,0,1,1,16
2822,624,20.2,0,0.064310516,13,257.3646,1,1987,0,2,1,1,26
4780,624,20.2,0,0.112693192,13,256.2646,4,1985,2,0,0,1,28
897,950,11.65,1,0.01091879,10,110.7544,8,1997,2,0,1,1,16
1091,950,11.65,1,0.010916726000000002,10,111.1544,6,2004,2,1,1,1,9
1541,950,11.65,1,0.010940934,10,110.4544,7,2002,2,1,1,1,11
1692,950,11.65,1,0.010980551000000002,10,110.7544,2,2007,2,1,1,1,6
2068,950,11.65,1,0.010935766000000001,10,110.0544,9,1999,1,0,1,1,14
5567,950,11.65,1,0.010865916000000002,10,111.4544,5,1985,1,2,3,1,28
1060,156,7.52,0,0.055352065,6,130.1994,3,2009,1,2,2,1,4
1703,156,7.52,0,0.055439323,6,130.0994,2,2007,2,1,1,1,6
1865,156,7.52,0,0.055117075,6,128.7994,6,2004,2,1,1,1,9
2036,156,7.52,0,0.054860542000000005,6,129.7994,5,1985,1,2,3,1,28
4258,1095,18.0,0,0.008540823000000001,0,78.9618,8,1997,2,0,1,1,16
393,1064,21.2,0,0.123745045,13,175.33700000000002,4,1985,2,0,0,1,28
441,1064,21.2,0,0.059685688625000004,13,176.137,9,1999,1,0,1,1,14
1419,1064,21.2,0,0.070964186,13,175.637,3,2009,1,2,2,1,4
2077,1064,21.2,0,0.059685688625000004,13,175.037,5,1985,1,2,3,1,28
3234,1064,21.2,0,0.070676281,13,176.33700000000002,8,1997,2,0,1,1,16
3730,1064,21.2,0,0.07061746599999999,13,178.237,1,1987,0,2,1,1,26
5310,1064,21.2,0,0.070819614,13,174.537,7,2002,2,1,1,1,11
5313,1064,21.2,0,0.070662917,13,177.037,6,2004,2,1,1,1,9
4438,928,7.5,0,0.08494673,3,120.5072,0,1998,2,2,0,1,15
4752,928,7.5,0,0.050505213,3,123.7072,5,1985,1,2,3,1,28
5362,928,7.5,0,0.088858409,3,123.3072,4,1985,2,0,0,1,28
277,746,21.1,1,0.161832494,6,65.7168,7,2002,2,1,1,1,11
429,746,21.1,1,0.161370557,6,64.0168,1,1987,0,2,1,1,26
3265,746,21.1,1,0.161756055,6,65.7168,9,1999,1,0,1,1,14
108,504,12.35,1,0.072044336,4,48.8692,5,1985,1,2,3,1,28
2396,504,12.35,1,0.072394912,4,50.3692,8,1997,2,0,1,1,16
4084,504,12.35,1,0.072804407,4,48.5692,2,2007,2,1,1,1,6
5101,504,12.35,1,0.072381223,4,48.4692,6,2004,2,1,1,1,9
5264,504,12.35,1,0.072507467,4,50.2692,9,1999,1,0,1,1,14
1176,1513,7.5,0,0.096958614,9,55.3588,2,2007,2,1,1,2,6
3602,1513,7.5,0,0.095946376,9,57.8588,5,1985,1,2,3,2,28
1905,122,16.6,0,0.13573321800000002,7,172.7422,8,1997,2,0,1,0,16
3246,122,16.6,0,0.136008489,7,170.4422,7,2002,2,1,1,0,11
604,1316,19.2,0,0.041461032,9,129.931,2,2007,2,1,1,2,6
2549,1316,19.2,0,0.041028182999999996,9,129.131,5,1985,1,2,3,2,28
3021,1316,19.2,0,0.041193522,9,131.731,1,1987,0,2,1,2,26
3488,1316,19.2,0,0.06900693599999999,9,128.931,0,1998,2,2,0,2,15
555,766,17.35,0,0.056146632,0,99.5016,3,2009,1,2,2,1,4
1948,254,8.96,1,0.04612460100000001,6,198.5768,0,1998,2,2,0,1,15
3166,254,8.96,1,0.06904552,6,197.3768,9,1999,1,0,1,1,14
3841,254,8.96,1,0.069328283,6,198.6768,2,2007,2,1,1,1,6
2333,837,6.78,1,0.086157502,6,229.1694,3,2009,1,2,2,1,4
4512,837,6.78,1,0.085791732,6,228.9694,6,2004,2,1,1,1,9
5040,837,6.78,1,0.08629332199999999,6,229.3694,2,2007,2,1,1,1,6
427,30,13.35,0,0.017813048,4,77.0012,9,1999,1,0,1,0,14
2388,30,13.35,0,0.017770596,4,75.3012,1,1987,0,2,1,0,26
4051,30,13.35,0,0.017782033,4,74.2012,6,2004,2,1,1,0,9
4418,30,13.35,0,0.029769107000000003,4,77.6012,0,1998,2,2,0,0,15
3359,690,13.65,1,0.0,13,57.7588,9,1999,1,0,1,1,14
5281,690,13.65,1,0.0,13,56.3588,3,2009,1,2,2,1,4
478,987,9.5,1,0.182980378,3,80.49600000000001,4,1985,2,0,0,1,28
2756,987,9.5,1,0.105099347,3,79.296,2,2007,2,1,1,1,6
5429,987,9.5,1,0.10467068800000001,3,80.99600000000001,9,1999,1,0,1,1,14
5680,987,9.5,1,0.104720151,3,79.796,7,2002,2,1,1,1,11
904,229,8.75,1,0.075049323,6,188.2556,2,2007,2,1,1,1,6
3666,2,8.27,1,0.128187372,14,184.3924,7,2002,2,1,1,0,11
4334,2,8.27,1,0.127903741,14,183.9924,6,2004,2,1,1,0,9
2968,1220,17.75,1,0.118188689,0,185.22400000000002,4,1985,2,0,0,1,28
3326,1220,17.75,1,0.067884624,0,187.324,2,2007,2,1,1,1,6
3680,1220,17.75,1,0.0675028,0,187.12400000000002,8,1997,2,0,1,1,16
3964,473,14.1,0,0.089603145,3,142.3496,1,1987,0,2,1,1,26
3317,138,18.85,0,0.09138128,7,126.6336,2,2007,2,1,1,0,6
1169,371,15.7,1,0.037941512000000004,5,122.8046,7,2002,2,1,1,1,11
1518,371,15.7,1,0.06337778,5,126.2046,0,1998,2,2,0,1,15
2621,371,15.700000000000001,1,0.066296239,5,125.9046,4,1985,2,0,0,1,28
3285,371,15.7,1,0.037833211,5,126.1046,1,1987,0,2,1,1,26
3385,371,15.7,1,0.038018966,5,126.1046,3,2009,1,2,2,1,4
3745,371,15.7,1,0.037857561,5,124.8046,6,2004,2,1,1,1,9
5130,371,15.7,1,0.037923591,5,126.2046,9,1999,1,0,1,1,14
2201,692,15.75,0,0.0,0,194.9452,5,1985,1,2,3,1,28
4602,692,15.75,0,0.0,0,194.8452,7,2002,2,1,1,1,11
107,625,14.0,1,0.042022999000000005,13,53.06399999999999,9,1999,1,0,1,1,14
289,625,14.0,1,0.039769722333333334,13,54.864,8,1997,2,0,1,1,16
475,625,14.0,1,0.042042857,13,53.864,7,2002,2,1,1,1,11
2118,625,14.0,1,0.042128684000000007,13,53.263999999999996,3,2009,1,2,2,1,4
4083,625,14.0,1,0.07022869799999999,13,54.263999999999996,0,1998,2,2,0,1,15
4659,625,14.0,1,0.042195095999999994,13,51.56399999999999,2,2007,2,1,1,1,6
146,1306,9.13,0,0.05183762099999999,9,152.6024,6,2004,2,1,1,2,9
282,1306,9.13,0,0.052140695,9,153.4024,2,2007,2,1,1,2,6
4385,1306,9.13,0,0.051596351,9,152.1024,5,1985,1,2,3,2,28
1338,708,19.7,0,0.078231229,0,181.46599999999998,3,2009,1,2,2,1,4
3252,708,19.7,0,0.0730138866,0,178.666,8,1997,2,0,1,1,16
3539,708,19.7,0,0.078354554,0,180.56599999999997,2,2007,2,1,1,1,6
4799,708,19.7,0,0.130411797,0,180.56599999999997,0,1998,2,2,0,1,15
5360,708,19.7,0,0.078071853,0,179.666,7,2002,2,1,1,1,11
1245,1307,17.35,0,0.167643297,9,177.1712,9,1999,1,0,1,2,14
1047,261,15.6,0,0.1173895,5,75.567,3,2009,1,2,2,1,4
3902,261,15.6,0,0.117150348,5,75.067,7,2002,2,1,1,1,11
4823,261,15.6,0,0.116891138,5,75.767,6,2004,2,1,1,1,9
18,1386,6.13,0,0.028184344,9,109.6912,5,1985,1,2,3,2,28
132,1386,6.13,0,0.028316137,9,109.3912,6,2004,2,1,1,2,9
